model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V10,"[0, 0.8, 1]",2.941532792571591,"[32.974001268230815, 67.02599873176919]","[31.89873417721519, 68.10126582278481]","[63.84615384615384, 73.03689687795648]","[71.42857142857143, 71.00371747211895]"
V10,"[0, 0.85, 1]",3.163892907619722,"[40.51997463538364, 59.48002536461636]","[39.24050632911392, 60.75949367088608]","[65.72769953051643, 72.92110874200426]","[72.90322580645162, 70.0]"
V10,"[0, 0.9, 1]",3.4301503257794543,"[46.73430564362714, 53.26569435637286]","[44.050632911392405, 55.949367088607595]","[65.12890094979647, 74.28571428571429]","[70.6896551724138, 71.49321266968326]"
V11,"[0, 0.45, 1]",2.011741822973407,"[93.40519974635384, 6.594800253646163]","[93.67088607594937, 6.329113924050633]","[69.4501018329939, 77.88461538461539]","[71.08108108108108, 72.0]"
V11,"[0, 0.5, 1]",1.306280582381239,"[93.84908053265694, 6.150919467343057]","[94.68354430379748, 5.3164556962025316]","[69.45945945945947, 78.35051546391753]","[70.85561497326202, 76.19047619047619]"
V11,"[0, 0.55, 1]",1.1204799380225616,"[94.3563728598605, 5.643627140139505]","[94.68354430379748, 5.3164556962025316]","[69.48924731182797, 78.65168539325843]","[70.85561497326202, 76.19047619047619]"
V11,"[0, 0.6, 1]",0.880005974873709,"[94.61001902346227, 5.389980976537729]","[95.18987341772151, 4.810126582278481]","[69.43699731903486, 80.0]","[70.74468085106383, 78.94736842105263]"
V11,"[0, 0.65, 1]",1.0509453420429329,"[94.99048826886494, 5.009511731135067]","[95.44303797468355, 4.556962025316456]","[69.49265687583444, 79.74683544303798]","[70.82228116710876, 77.77777777777779]"
V11,"[0, 0.7, 1]",1.286428239177575,"[95.05389980976537, 4.946100190234623]","[95.44303797468355, 4.556962025316456]","[69.44629753168779, 80.76923076923077]","[70.82228116710876, 77.77777777777779]"
V11,"[0, 0.75, 1]",1.4319236287314911,"[95.18072289156626, 4.819277108433735]","[95.44303797468355, 4.556962025316456]","[69.42038640906063, 81.57894736842105]","[70.82228116710876, 77.77777777777779]"
V11,"[0, 0.8, 1]",1.233872657183365,"[95.30754597336716, 4.692454026632848]","[95.44303797468355, 4.556962025316456]","[69.46107784431138, 81.08108108108108]","[70.82228116710876, 77.77777777777779]"
V11,"[0, 0.85, 1]",25.374120686013978,"[99.80976537729866, 0.19023462270133165]","[99.74683544303798, 0.25316455696202533]","[69.94917407878017, 100.0]","[71.31979695431471, 0.0]"
V11,"[0, 0.9, 1]",25.40105648409575,"[99.8731769181991, 0.12682308180088775]","[99.74683544303798, 0.25316455696202533]","[69.96825396825398, 100.0]","[71.31979695431471, 0.0]"
V12,"[0, 0.45, 1]",2.3344215834675275,"[64.1724793912492, 35.82752060875079]","[66.07594936708861, 33.92405063291139]","[68.47826086956522, 72.7433628318584]","[67.81609195402298, 77.61194029850746]"
V12,"[0, 0.5, 1]",2.8381923553475543,"[66.45529486366519, 33.54470513633481]","[68.60759493670886, 31.39240506329114]","[68.51145038167938, 72.96786389413988]","[67.52767527675276, 79.03225806451613]"
V12,"[0, 0.55, 1]",2.7956749244012453,"[68.61128725428028, 31.388712745719722]","[71.13924050632912, 28.860759493670884]","[68.48428835489834, 73.33333333333333]","[67.97153024911033, 78.94736842105263]"
V12,"[0, 0.6, 1]",2.7981629319441437,"[71.33798351299937, 28.662016487000635]","[73.16455696202532, 26.83544303797468]","[68.62222222222222, 73.45132743362832]","[67.82006920415225, 80.18867924528303]"
V12,"[0, 0.65, 1]",1.9983564101998477,"[74.00126823081801, 25.998731769181994]","[73.9240506329114, 26.075949367088608]","[68.72322193658955, 73.65853658536585]","[67.8082191780822, 80.58252427184466]"
V12,"[0, 0.7, 1]",2.0770671037949056,"[76.1572606214331, 23.8427393785669]","[75.9493670886076, 24.050632911392405]","[68.77601998334721, 73.93617021276596]","[68.0, 81.05263157894737]"
V12,"[0, 0.75, 1]",1.9983210610680269,"[79.2010145846544, 20.79898541534559]","[80.50632911392405, 19.49367088607595]","[68.9351481184948, 74.08536585365853]","[69.18238993710692, 79.22077922077922]"
V12,"[0, 0.8, 1]",1.4215710013964205,"[84.33734939759037, 15.66265060240964]","[85.31645569620252, 14.683544303797468]","[68.796992481203, 76.51821862348179]","[69.73293768545994, 79.3103448275862]"
V12,"[0, 0.85, 1]",1.9609730759637198,"[88.07863031071655, 11.92136968928345]","[89.1139240506329, 10.886075949367088]","[68.82649388048956, 78.72340425531915]","[69.60227272727273, 83.72093023255815]"
V12,"[0, 0.9, 1]",1.1601013730815914,"[94.29296131896005, 5.707038681039949]","[94.9367088607595, 5.063291139240507]","[69.5359784801614, 77.77777777777779]","[70.66666666666667, 80.0]"
V13,"[0, 0.45, 1]",2.054169322791286,"[31.0716550412175, 68.92834495878249]","[28.607594936708864, 71.39240506329114]","[71.63265306122449, 69.27322907083716]","[74.33628318584071, 69.8581560283688]"
V13,"[0, 0.5, 1]",1.6645751104659627,"[31.51553582752061, 68.48446417247939]","[29.620253164556964, 70.37974683544303]","[71.42857142857143, 69.35185185185185]","[73.50427350427351, 70.14388489208633]"
V13,"[0, 0.55, 1]",1.794291090617702,"[31.896005072923273, 68.10399492707673]","[29.873417721518987, 70.12658227848101]","[71.17296222664015, 69.45996275605214]","[73.72881355932203, 70.03610108303249]"
V13,"[0, 0.6, 1]",1.3787058677809148,"[32.149651236525045, 67.85034876347495]","[30.886075949367086, 69.11392405063292]","[71.40039447731755, 69.34579439252336]","[73.77049180327869, 69.96336996336996]"
V13,"[0, 0.65, 1]",1.390268721327101,"[32.910589727330375, 67.08941027266962]","[31.645569620253166, 68.35443037974683]","[71.09826589595376, 69.47069943289225]","[73.6, 70.0]"
V13,"[0, 0.7, 1]",1.3495788580109753,"[33.54470513633481, 66.45529486366519]","[32.40506329113924, 67.59493670886076]","[70.69943289224952, 69.65648854961832]","[73.4375, 70.0374531835206]"
V13,"[0, 0.75, 1]",0.6948679156532265,"[33.86176284083703, 66.13823715916297]","[33.67088607594937, 66.32911392405063]","[70.78651685393258, 69.60690316395014]","[72.18045112781954, 70.61068702290076]"
V13,"[0, 0.8, 1]",0.6733520467083132,"[34.43246670894103, 65.56753329105898]","[34.177215189873415, 65.82278481012658]","[70.90239410681399, 69.53578336557061]","[71.85185185185186, 70.76923076923077]"
V13,"[0, 0.85, 1]",0.619045600441563,"[39.25174381737476, 60.74825618262524]","[39.49367088607595, 60.50632911392405]","[72.05169628432955, 68.6847599164927]","[72.43589743589743, 70.29288702928869]"
V13,"[0, 0.9, 1]",0.8298074507410078,"[40.71020925808497, 59.28979074191503]","[41.265822784810126, 58.734177215189874]","[71.96261682242991, 68.66310160427808]","[73.00613496932516, 69.82758620689656]"
V14,"[0, 0.45, 1]",4.127104687905519,"[4.819277108433735, 95.18072289156626]","[3.79746835443038, 96.20253164556962]","[52.63157894736842, 70.88607594936708]","[66.66666666666666, 71.3157894736842]"
V14,"[0, 0.5, 1]",1.3238281609896243,"[5.389980976537729, 94.61001902346227]","[5.3164556962025316, 94.68354430379748]","[52.94117647058824, 70.97855227882037]","[57.14285714285714, 71.92513368983957]"
V14,"[0, 0.55, 1]",1.450233144691162,"[6.404565630944832, 93.59543436905517]","[5.5696202531645564, 94.43037974683544]","[57.42574257425742, 70.86720867208672]","[54.54545454545454, 72.11796246648794]"
V14,"[0, 0.6, 1]",2.834761275724436,"[9.258084971464807, 90.74191502853519]","[9.620253164556962, 90.37974683544304]","[63.6986301369863, 70.64989517819707]","[55.26315789473685, 72.82913165266106]"
V14,"[0, 0.65, 1]",0.7795358727176365,"[15.0285351934052, 84.9714648065948]","[14.430379746835442, 85.56962025316456]","[64.13502109704642, 71.04477611940298]","[64.91228070175438, 72.18934911242604]"
V14,"[0, 0.7, 1]",1.647019250943048,"[20.92580849714648, 79.07419150285352]","[19.49367088607595, 80.50632911392405]","[63.030303030303024, 71.85244587008822]","[61.038961038961034, 73.58490566037736]"
V14,"[0, 0.75, 1]",0.9719393964430907,"[48.82688649334179, 51.17311350665821]","[48.10126582278481, 51.89873417721519]","[70.12987012987013, 69.88847583643123]","[70.0, 72.1951219512195]"
V14,"[0, 0.8, 1]",1.0532522071157011,"[93.08814204185161, 6.911857958148383]","[93.67088607594937, 6.329113924050633]","[70.91280653950953, 57.798165137614674]","[72.16216216216216, 56.00000000000001]"
V14,"[0, 0.85, 1]",2.5224972879756695,"[95.30754597336716, 4.692454026632848]","[95.18987341772151, 4.810126582278481]","[70.791749833666, 54.054054054054056]","[71.54255319148936, 63.1578947368421]"
V14,"[0, 0.9, 1]",4.314001123602571,"[96.44895370957515, 3.551046290424857]","[96.20253164556962, 3.79746835443038]","[70.47994740302433, 57.14285714285714]","[71.05263157894737, 73.33333333333333]"
V15,"[0, 0.45, 1]",3.37187201793755,"[79.26442612555485, 20.735573874445148]","[82.27848101265823, 17.72151898734177]","[68.96, 74.00611620795107]","[68.92307692307692, 81.42857142857143]"
